weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2025-04-05T00:00:00.000,Region 6,0.8867,2025-04-05,2025,14
2021-02-06T00:00:00.000,Region 8,0.9306,2021-02-06,2021,5
2021-05-22T00:00:00.000,Region 8,0.9306,2021-05-22,2021,20
2020-10-10T00:00:00.000,Region 9,0.0741,2020-10-10,2020,41
2022-04-30T00:00:00.000,Region 9,0.9138,2022-04-30,2022,17
2024-03-23T00:00:00.000,Region 1,0.9476,2024-03-23,2024,12
2024-08-17T00:00:00.000,Region 10,0.6739,2024-08-17,2024,33
2021-04-24T00:00:00.000,Region 2,0.9191,2021-04-24,2021,16
2022-12-24T00:00:00.000,Region 3,0.949,2022-12-24,2022,51
2025-02-08T00:00:00.000,Region 3,0.9335,2025-02-08,2025,6
2021-04-17T00:00:00.000,Region 4,0.8916,2021-04-17,2021,15
2022-06-18T00:00:00.000,Region 5,0.9325,2022-06-18,2022,24
2025-09-13T00:00:00.000,Region 5,0.8963,2025-09-13,2025,37
2025-05-17T00:00:00.000,Region 6,0.8733,2025-05-17,2025,20
2023-07-01T00:00:00.000,Region 8,0.9694,2023-07-01,2023,26
2024-12-28T00:00:00.000,Region 8,0.9306,2024-12-28,2024,52
2022-04-09T00:00:00.000,Region 1,0.9048,2022-04-09,2022,14
2020-09-12T00:00:00.000,Region 2,0.0029,2020-09-12,2020,37
2022-03-26T00:00:00.000,Region 2,0.9277,2022-03-26,2022,12
2024-02-17T00:00:00.000,Region 2,0.974,2024-02-17,2024,7
2021-04-10T00:00:00.000,Region 3,0.8914,2021-04-10,2021,14
2021-09-11T00:00:00.000,Region 3,0.8537,2021-09-11,2021,36
2022-10-29T00:00:00.000,Region 4,0.8962,2022-10-29,2022,43
2022-12-03T00:00:00.000,Region 5,0.9355,2022-12-03,2022,48
2022-03-05T00:00:00.000,Region 7,0.9407,2022-03-05,2022,9
2025-09-20T00:00:00.000,Region 7,0.6871,2025-09-20,2025,38
2022-04-23T00:00:00.000,Region 1,0.9048,2022-04-23,2022,16
2024-12-14T00:00:00.000,Region 1,0.9333,2024-12-14,2024,50
2023-10-07T00:00:00.000,Region 2,0.9653,2023-10-07,2023,40
2024-04-13T00:00:00.000,Region 2,0.974,2024-04-13,2024,15
